Page,Field
1,tin
1,accountingRecord
1,taxComplianceStatus
1,statutoryAudit
1,legalForm
1,yearFirstRevenue
1,yearFirstProfit
1,priorityPeriodYear
1,incomeTaxRate
1,incomeTaxDue
1,taxCreditCarriedForward
1,taxOfficeNo
1,taxOfficialId
1,filedIn
1,filingDate
1,signatoryName
2,tin
2,capitalRegName[array]
2,capitalRegAddress[array]
2,capitalRegPos[array]
2,capitalRegStartPct[array]
2,capitalRegStartAmt[array]
2,capitalRegEndPct[array]
2,capitalRegEndAmt[array]
2,capitalPaidName[array]
2,capitalPaidAddress[array]
2,capitalPaidPos[array]
2,capitalPaidStartPct[array]
2,capitalPaidStartAmt[array]
2,capitalPaidEndPct[array]
2,capitalPaidEndAmt[array]
2,employeeShPos[array]
2,employeeShNum[array]
2,employeeShSal[array]
2,employeeShFringe[array]
2,employeeNonShPos[array]
2,employeeNonShNum[array]
2,employeeNonShSal[array]
2,employeeNonShFringe[array]
2,employeeTotalNum[array]
2,employeeTotalSal[array]
2,employeeTotalFringe[array]
2,employeeTaxNum[array]
2,employeeTaxSal[array]
2,employeeTaxFringe[array]
3,tin
4,tin
5,tin
6,tin
7,tin
8,tin
9,tin
10,tin
11,tin
12,tin
13,tin
14,tin
15,tin
16,tin
17,companyNameKH
17,companyNameEN
17,tin
18,tin
18,companyNameKH
19,tin
19,companyNameKH
20,tin
21,tin
