Page,Field
1,tin
1,accountingRecord
1,taxComplianceStatus
1,statutoryAudit
1,legalForm
1,yearFirstRevenue
1,yearFirstProfit
1,priorityPeriodYear
1,incomeTaxRate
1,incomeTaxDue
1,taxCreditCarriedForward
1,taxOfficeNo
1,taxOfficialId
1,filedIn
1,filingDate
1,signatoryName
2,tin
2,capitalRegName[0-5]
2,capitalRegAddress[0-5]
2,capitalRegPos[0-5]
2,capitalRegStartPct[0-5]
2,capitalRegStartAmt[0-5]
2,capitalRegEndPct[0-5]
2,capitalRegEndAmt[0-5]
2,capitalPaidName[0-5]
2,capitalPaidAddress[0-5]
2,capitalPaidPos[0-5]
2,capitalPaidStartPct[0-5]
2,capitalPaidStartAmt[0-5]
2,capitalPaidEndPct[0-5]
2,capitalPaidEndAmt[0-5]
2,employeeShPos[0-5]
2,employeeShNum[0-5]
2,employeeShSal[0-5]
2,employeeShFringe[0-5]
2,employeeNonShPos[0-5]
2,employeeNonShNum[0-5]
2,employeeNonShSal[0-5]
2,employeeNonShFringe[0-5]
3,tin
4,tin
5,tin
6,tin
7,tin
8,tin
9,tin
10,tin
11,tin
12,tin
13,tin
14,tin
15,tin
16,tin
17,companyNameKH
17,companyNameEN
17,tin
18,tin
18,companyNameKH
19,tin
19,companyNameKH
20,tin
21,tin
